file,offset,capacity,mode,text
F/SF0B1.DAT,0x478C4,42,e2,"국왕: 그때 형님이 남기신 것은, 인류가 멸망할 것이라는 말이었다."
F/SF0B1.DAT,0x47926,26,e2,"대신: 폐하께서까지 그런 말씀을 하시면..."
F/SF0B1.DAT,0x47978,57,e2,"국왕: 마물들이 날뛰고 이상한 일들이 이어지는 지금, 형님의 말씀과 그 전설이 떠오르는구나."
F/SF0B1.DAT,0x479E4,47,e2,"국왕: 아크여, 포코와 함께 밀마나의 토요케 숲으로 가거라."
F/SF0B1.DAT,0x47A46,43,e2,"국왕: 그곳에서 형님이 무엇을 보았는지, 성궤는 이 나라 어디에 있는지 알아보아라."
F/SF0B1.DAT,0x47AA4,23,e2,"국왕: 그리고 성궤를 어떻게 손에 넣을 수 있는지도 조사해 오너라."
F/SF0B1.DAT,0x47AFC,19,e2,"쿠쿠루: 폐하, 저도 두 사람과 동행하게 해 주세요."
F/SF0B1.DAT,0x47B5A,10,e2,"국왕: 그대는 누구인가?"
F/SF0B1.DAT,0x47B9E,31,e2,"쿠쿠루: 성지 시온산을 대대로 지켜 온 가문의 딸, 쿠쿠루라고 합니다."
F/SF0B1.DAT,0x47BF6,29,e2,"국왕: 그대가 토우빌의 와이트 가문 딸이로군."
F/SF0B1.DAT,0x47C4E,20,e2,"쿠쿠루: 제 힘은 왕가만을 위한 것이 아닙니다."
F/SF0B1.DAT,0x47C96,38,e2,"쿠쿠루: 용사와 힘을 합쳐 인류의 미래를 열기 위한 힘이라고 고문서에서 배웠습니다."
F/SF0B1.DAT,0x47CF0,15,e2,"쿠쿠루: 제가 그 사실을 증명하고 싶습니다."
F/SF0B1.DAT,0x47D32,22,e2,"대신: 너 같은 어린 계집이..."
F/SF0B1.DAT,0x47D80,47,e2,"국왕: 좋다. 세 사람이 함께 가거라. 공항에 비행선을 준비해 두었다."
F/SF0B1.DAT,0x47DE2,14,e2,"국왕: 기대하고 있겠다."
F/SF0B1.DAT,0x47E3C,9,e2,"아크: 맡겨 주세요."
21/S2041.DAT,0x47EFE,48,choice,"지도를 열까요?|연다|열지 않는다"
21/S2041.DAT,0x47FF8,35,e2,"승무원: 아크 님이시군요. 이제 밀마나로 출발하겠습니다."
21/S2041.DAT,0x4804E,51,e2,"승무원: 밀마나에 들어간 뒤에는 군 본부의 허가 없이는 다른 나라로 갈 수 없습니다."
21/S2041.DAT,0x480B4,41,e2,"승무원: 밀마나를 휩쓰는 마물은 우리나라의 마물보다 강하다고 합니다."
21/S2041.DAT,0x48118,16,e2,"승무원: 자신 있으십니까?"
21/S2041.DAT,0x48160,44,choice,"물론이지!|조금 불안해|싸울 줄 몰라"
21/S2041.DAT,0x481CC,17,e2,"승무원: 그럼 탑승해 주세요."
21/S2041.DAT,0x482C2,24,e2,"승무원: 자신이 생길 때까지 기다리겠습니다."
21/S2041.DAT,0x4834C,24,e2,"승무원: 아무리 그래도 너무 자신 없는 것 아닌가..."
21/S2041.DAT,0x48398,10,e2,"아크: 응? 무슨 말 했어?"
21/S2041.DAT,0x483D4,22,e2,"승무원: 아뇨... 아무것도 아닙니다."
