table_key,index,japanese,korean,encoded_bytes,source
equipment_name,0,炎の守り,불꽃의 수호,11,project_translation+guide_reference
equipment_name,1,氷の守り,얼음의 수호,11,project_translation+guide_reference
equipment_name,2,アンチへモジー,안티 헤모지,11,project_translation+guide_reference
equipment_name,3,いやしのお守り,치유의 부적,11,project_translation+guide_reference
equipment_name,4,きぬのおび,비단 허리띠,11,project_translation+guide_reference
equipment_name,5,魔法のカート,마법 카드,9,project_translation+guide_reference
equipment_name,6,スリー<N:フ:11><N:リ:12>スカート,수면 방지 카드,14,project_translation+guide_reference
equipment_name,7,パワーアーム,파워 암,7,project_translation+guide_reference
equipment_name,8,カ<N:｣:11><N:ザ:8>ー<N:ク:12>ローフ,카이저 글러브,13,project_translation+guide_reference
equipment_name,9,幻のこて,환상의 장갑,11,project_translation+guide_reference
equipment_name,10,サン<N:ク:12>ラス,선글라스,8,project_translation+guide_reference
equipment_name,11,当て方の絵巻,명중의 두루마리,15,project_translation+guide_reference
equipment_name,12,ぶん投げの絵巻,투척의 두루마리,15,project_translation+guide_reference
equipment_name,13,神のこぶし,신의 주먹,9,project_translation+guide_reference
equipment_name,14,バ<N:｣:11>オ<N:リ:12>ット<N:リ:12>ーサー,바이올렛 레이저,15,project_translation+guide_reference
equipment_name,15,<N:ネ:13>ック<N:リ:12>ス,목걸이,6,project_translation+guide_reference
equipment_name,16,じ<N:ぃ:20>す,염주,4,project_translation+guide_reference
equipment_name,17,長老のはちまき,장로의 머리띠,13,project_translation+guide_reference
equipment_name,18,しつ<N:ぷ:23>うのバンダナ,질풍의 반다나,13,project_translation+guide_reference
equipment_name,19,<N:ハ:12><N:｣:11>パーフーツ,하이퍼 부츠,11,project_translation+guide_reference
equipment_name,20,まにあわせのくつ,임시 신발,9,project_translation+guide_reference
equipment_name,21,フ<N:リ:12>ス<N:リ:12>ット,팔찌 1,6,project_translation+guide_reference
equipment_name,22,フ<N:リ:12>ス<N:リ:12>ット,팔찌 2,6,project_translation+guide_reference
equipment_name,23,技のフ<N:リ:12>ス<N:リ:12>ット,기술의 팔찌,11,project_translation+guide_reference
equipment_name,24,女神のいのり,여신의 기도,11,project_translation+guide_reference
equipment_name,25,パワーリスト,파워 리스트,11,project_translation+guide_reference
equipment_name,26,デ<N:ｲ:6>ールの<N:牙:4>,데일의 이빨,11,project_translation+guide_reference
equipment_name,27,幻獣の<N:牙:4>,환수의 이빨,11,project_translation+guide_reference
equipment_name,28,しおかぜの調ベ,바닷바람의 선율,15,project_translation+guide_reference
equipment_name,29,<N:貝:2>がら,조개껍데기,10,project_translation+guide_reference
equipment_name,30,一角獣の角,유니콘의 뿔,11,project_translation+guide_reference
equipment_name,31,<N:悲:5>劇のめがね,비극의 안경,11,project_translation+guide_reference
equipment_name,32,鏡,거울,4,project_translation+guide_reference
equipment_name,33,古代の<N:ｴ:24>びわ,고대의 반지,11,project_translation+guide_reference
equipment_name,34,幻の<N:ｴ:24>びわ,환상의 반지,11,project_translation+guide_reference
equipment_name,35,魔導の<N:ｴ:24>びわ,마도의 반지,11,project_translation+guide_reference
equipment_name,36,おもちゃの<N:ｴ:24>びわ,장난감 반지,11,project_translation+guide_reference
equipment_name,37,<N:毒:1>よけの<N:ｴ:24>びわ,독막이 반지,11,project_translation+guide_reference
equipment_name,38,幻の盾,환상의 방패,11,project_translation+guide_reference
equipment_name,39,戦士の守り,전사의 수호,11,project_translation+guide_reference
equipment_name,40,長老の盾,장로의 방패,11,project_translation+guide_reference
equipment_name,41,強力な<N:杖:1>,강력한 지팡이,13,project_translation+guide_reference
equipment_name,42,じごくのスニー<N:フ:11>,지옥의 스누프,13,project_translation+guide_reference
equipment_name,43,王様の像,왕의 상,7,project_translation+guide_reference
equipment_name,44,たかの像,매의 상,7,project_translation+guide_reference
equipment_name,45,まがいの像,가짜 상,7,project_translation+guide_reference
equipment_name,46,たん剣,단검,4,project_translation+guide_reference
equipment_name,47,幻の剣,환상의 검,9,project_translation+guide_reference
equipment_name,48,<N:リ:12><N:｣:11>ラのかみか<N:ざ:2>り,리라의 머리장식,15,project_translation+guide_reference
