row_number,source file,offset,japanese,pre_v356_korean,draft_korean,protected_template,previous_constraint,bank_b_slot,bank_b_id,review_status,approved_korean,review_note
787,31/S3014.DAT,0x4762E,"チョピン
強い相手を選んで戦うと、それだけ多くの経験をつめます。",초핀: 강한 상대와 싸우면 그만큼 많은 경험을 쌓을 수 있습니다.,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,V354_SLOT_SHORTAGE,0,D1,needs_human_review,,Codex draft; compare Japanese/context before approval
792,31/S3014.DAT,0x477D6,"チョピン
仲聞がふえてくると、戦闘での役わりに
よりレベルにさが出てきます。",초핀: 동료가 늘어나면 전투에서의 역할에 따라 레벨 차이가 더 생기게 됩니다.,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,V354_SLOT_SHORTAGE,1,D2,needs_human_review,,Codex draft; compare Japanese/context before approval
794,31/S3014.DAT,0x4788A,"チョピン
キャラクターの防ご値が近い値になるように気をつけてみてはどうでしょう？",초핀: 캐릭터들의 방어력이 비슷한 수치가 되도록 신경 써 보시는 건 어떻겠습니까?,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,V354_SLOT_SHORTAGE,2,D3,needs_human_review,,Codex draft; compare Japanese/context before approval
796,31/S3014.DAT,0x4794A,落ちこぼれとは誰のことじゃ？,낙오자라니 누구를 말하는 게냐?,"낙오자라니, 누구를 말하는 게냐?","낙오자라니, 누구를 말하는 게냐?",V354_SLOT_SHORTAGE,3,D4,needs_human_review,,Codex draft; compare Japanese/context before approval
799,31/S3014.DAT,0x47A78,"チョピン
なかには、モンスターに守られた、
あそこにしかないアクセサリーもあると
聞きます。","초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.",초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,V354_SLOT_SHORTAGE,4,D5,needs_human_review,,Codex draft; compare Japanese/context before approval
800,31/S3014.DAT,0x47ADE,"チョピン
力試しもかねて、時には行つてみるのも
よいのでは？","초핀: 실력도 시험해 볼 겸, 가끔 들러 보는 것도 좋지 않을까요?",초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,V354_SLOT_SHORTAGE,5,D6,needs_human_review,,Codex draft; compare Japanese/context before approval
806,31/S3014.DAT,0x47CD6,"チョピン
ミルマーナには、3カ所バトルエリアが
あるこですし、時には行つて、
話を聞くのもよいでしょう。","초핀: 미르마나에는 세 곳의 배틀 에어리어가 있다고 하니, 때로는 가서 이야기를 듣는 것도 좋겠습니다.",초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,V354_SLOT_SHORTAGE,6,D7,needs_human_review,,Codex draft; compare Japanese/context before approval
807,31/S3014.DAT,0x47D42,"チョピン
行くと万能薬をもらえるようですよ。",초핀: 가면 만능약을 받을 수 있는 것같습니다.,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,V354_SLOT_SHORTAGE,7,D8,needs_human_review,,Codex draft; compare Japanese/context before approval
808,31/S3014.DAT,0x47D92,やさしいのう。,친절하기도 하군.,참 친절하구나.,참 친절하구나.,V354_SLOT_SHORTAGE,8,D9,needs_human_review,,Codex draft; compare Japanese/context before approval
812,31/S3014.DAT,0x47EE4,"チョピン
どれについてお話ししましょう？",초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,V354_SLOT_SHORTAGE,9,DA,needs_human_review,,Codex draft; compare Japanese/context before approval
818,31/S3014.DAT,0x4818E,"チョピン
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,V354_SLOT_SHORTAGE,10,DB,needs_human_review,,Codex draft; compare Japanese/context before approval
819,31/S3014.DAT,0x481F2,"チョピン
ここでは、あるアイテムが手に入ります。ストーンサークルだけに・・。",초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클에서만 말이지요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...,V354_SLOT_SHORTAGE,11,DC,needs_human_review,,Codex draft; compare Japanese/context before approval
821,31/S3014.DAT,0x482B6,"チョピン
その時に、カーソルと<CTRL:E7:02>でリングの中の技を選んでアイコンの位置を変えられるんです。",초핀: 그때 커서와  로 링 안의 기술을 고르고 아이콘의 위치를 바꾸어 놓을 수 있습니다.,초핀: 그때 커서와 버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.,초핀: 그때 커서와 {E7:02}버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.,V354_SLOT_SHORTAGE,12,DD,needs_human_review,,Codex draft; compare Japanese/context before approval
