file,offset,capacity,slot,text,translation_note
1/S1071.DAT,0x478D6,39,0,"촌장: 자, 이 문 너머에는 너희 일족만 들어갈 수 있다.","화자명을 첫 줄에 붙이고 출입 자격을 보존"
1/S1071.DAT,0x47932,41,1,"약속대로 이 마을에서 내보내 주는 거야? 정말 나를 자유롭게 해 주는 거야?","두 질문과 자유의 의미를 모두 보존"
1/S1071.DAT,0x4798E,55,2,"촌장: 물론이지. 하지만 먼저 시온산 정상에 있는 봉인의 불꽃을 꺼야 한다.","약속의 조건과 목적지를 모두 보존"
1/S1071.DAT,0x479FA,6,3,"알고 있어.","원문의 단호한 응답"
1/S1011.DAT,0x478AA,35,0,"3천 년 동안 타오르고 있는 정령의 산, 시온의 불꽃...","장소와 3천 년의 지속을 보존"
1/S1011.DAT,0x47902,23,1,"대체 이 불꽃에는 무슨 의미가 있는 걸까...?","불꽃의 의미를 묻는 독백"
1/S1011.DAT,0x47954,21,2,"아니, 지금 그걸 생각하고 있을 때가 아니야!","생각을 떨치는 독백"
1/S1011.DAT,0x4799E,42,3,"해가 바뀌면 팔렌시아 성에서 나를 데리러 올 거야. 그게 우리 일족의 규율이니까...","성에서 영접이 온다는 방향성과 일족의 규율을 보존"
1/S1011.DAT,0x479FC,36,4,"그리고 신의 피를 잇는 일족의 딸로서 왕자와 결혼해야만 해.","강요된 혼인과 혈통 계승을 보존"
1/S1011.DAT,0x47A54,12,5,"그런 건 절대로 싫어.","운명에 대한 명확한 거부"
1/S1011.DAT,0x47AD2,26,6,"후... 아무 일도 일어나지 않았잖아.","불을 끈 직후의 안도와 의문"
1/S1011.DAT,0x47B3E,49,7,"잘도 시온의 불꽃을 껐구나! 3천 년 동안 나를 봉인해 온 불꽃을...","해방된 존재의 위압적인 말투와 봉인 기간을 보존"
1/S1011.DAT,0x47BB2,5,8,"뭐지...?","정체불명의 목소리에 대한 반응"
