file,offset,japanese_numbers,korean_numbers,missing,japanese,korean
1/S1011.DAT,0x478AA,3000,3,3000,もう3000年も燃え続けている精霊(せいれい)の山 / シオンの炎。,"3천 년이나 계속 타오르는 정령의 산, 시온의 불꽃."
1/S1011.DAT,0x4799E,1,-,1,年が明ければ / パレンシア城から むかえが来るそれがわが一族のおきて・・。,해가 바뀌면 팔렌시아 성에서 마중이 올 거야. 그게 우리 일족의 규율이야...
1/S1011.DAT,0x47B3E,3000,2 3,3000,よくぞ シオンの炎を消した! / 3000年もの長きにわたり / われを封じ込めし炎を・・。,잘도 시온의 불꽃을 껐구나! 3천 년이라는 긴 시간 동안 나를 가두어 둔 불꽃을...
1/S1013.DAT,0x47948,1,-,1,だから この炎を / もう一度消すと / 終わつてしまう気がする。,그래서 이 불꽃을 다시 끄면 모든 게 끝날 것만 같아.
1/S1013.DAT,0x47B8E,3000,4,3000,アークデーモン  / 貴様を俺の手で殺すこによつて / 俺は初めて3000年の呪いから / 解放される。,아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 벗어날 수 있다.
1/S1021.DAT,0x48512,10,-,10,アークの母  / あの人が旅にでて10年 / あの人の言葉通りになつてしまつた。,어머니: 그이가 떠난 지 십 년... 결국 그이 말대로 됐구나.
1/S1021.DAT,0x487A2,10,1,10,アークの父  / 10年後の今日、封印(ふういん)が / 解かれ、再び山が荒れる・・。 / その時アークは山へ向かう。,"아버지: 십 년 뒤 오늘, 봉인이 풀리고 산이 다시 날뛸 거다. 그때 아크는 산으로 향한다."
1/S1023.DAT,0x47AB0,1,3,1,強くなるためには / 作戦をたてるには / 敵からダメージを受けないためには1次のページ,|강해지려면|작전을 세우려면|적에게 피해를 입지 않으려면|다음 페이지
1/S1041.DAT,0x47ABE,3000,-,3000,アークデーモン  / 3000年の呪(のろ)いを / たち切るのだ!,아크 데몬: 삼천 년의 저주를 끊어 내겠다!
1/S1041.DAT,0x48058,1,-,1,山の精霊  / ええ / しかし、あなたはもう一度 / 炎を消しにくることになります。,산의 정령: 그렇습니다. 하지만 당신은 언젠가 다시 불을 끄러 오게 됩니다.
