glyph index,character,how it was established
0, ,"ascii rule: original COMM.IMG audit, index = code - 32"
1,!,"ascii rule: original COMM.IMG audit, index = code - 32"
2,"""","ascii rule: original COMM.IMG audit, index = code - 32"
3,#,"ascii rule: original COMM.IMG audit, index = code - 32"
4,$,"ascii rule: original COMM.IMG audit, index = code - 32"
5,%,"ascii rule: original COMM.IMG audit, index = code - 32"
6,&,"ascii rule: original COMM.IMG audit, index = code - 32"
7,',"ascii rule: original COMM.IMG audit, index = code - 32"
8,(,"ascii rule: original COMM.IMG audit, index = code - 32"
9,),"ascii rule: original COMM.IMG audit, index = code - 32"
10,*,"ascii rule: original COMM.IMG audit, index = code - 32"
11,+,"ascii rule: original COMM.IMG audit, index = code - 32"
12,",","ascii rule: original COMM.IMG audit, index = code - 32"
13,-,"ascii rule: original COMM.IMG audit, index = code - 32"
14,.,"ascii rule: original COMM.IMG audit, index = code - 32"
15,/,"ascii rule: original COMM.IMG audit, index = code - 32"
16,0,"ascii rule: original COMM.IMG audit, index = code - 32"
17,1,"ascii rule: original COMM.IMG audit, index = code - 32"
18,2,"ascii rule: original COMM.IMG audit, index = code - 32"
19,3,"ascii rule: original COMM.IMG audit, index = code - 32"
20,4,"ascii rule: original COMM.IMG audit, index = code - 32"
21,5,"ascii rule: original COMM.IMG audit, index = code - 32"
22,6,"ascii rule: original COMM.IMG audit, index = code - 32"
23,7,"ascii rule: original COMM.IMG audit, index = code - 32"
24,8,"ascii rule: original COMM.IMG audit, index = code - 32"
25,9,"ascii rule: original COMM.IMG audit, index = code - 32"
26,い,"restored manual atlas mapping; repaired source occurrences=3049, conflicts=0"
27,の,"restored manual atlas mapping; repaired source occurrences=2591, conflicts=0"
28,な,"restored manual atlas mapping; repaired source occurrences=1802, conflicts=0"
29,し,"restored manual atlas mapping; repaired source occurrences=2214, conflicts=0"
30,た,"restored manual atlas mapping; repaired source occurrences=1543, conflicts=0"
31,か,"restored manual atlas mapping; repaired source occurrences=3010, conflicts=0"
32,て,"restored manual atlas mapping; repaired source occurrences=1757, conflicts=0"
33,る,"restored manual atlas mapping; repaired source occurrences=2392, conflicts=0"
34,に,"restored manual atlas mapping; repaired source occurrences=2156, conflicts=0"
35,、,"restored manual atlas mapping; repaired source occurrences=1148, conflicts=0"
36, ,"restored manual atlas mapping; repaired source occurrences=2629, conflicts=0"
37,う,"restored manual atlas mapping; repaired source occurrences=3739, conflicts=0"
38,ま,"restored manual atlas mapping; repaired source occurrences=2501, conflicts=0"
39,は,"restored manual atlas mapping; repaired source occurrences=2145, conflicts=0"
40,つ,"restored manual atlas mapping; repaired source occurrences=1337, conflicts=0"
41,が,"restored manual atlas mapping; repaired source occurrences=5191, conflicts=0"
42,す,"restored manual atlas mapping; repaired source occurrences=3047, conflicts=0"
43,・,"restored manual atlas mapping; repaired source occurrences=248, conflicts=0"
44,ん,"restored manual atlas mapping; repaired source occurrences=1251, conflicts=0"
45,こ,"restored manual atlas mapping; repaired source occurrences=869, conflicts=0"
46,を,"restored manual atlas mapping; repaired source occurrences=1170, conflicts=0"
47,で,"restored manual atlas mapping; repaired source occurrences=1105, conflicts=0"
48,ー,"restored manual atlas mapping; repaired source occurrences=1030, conflicts=0"
49,れ,"restored manual atlas mapping; repaired source occurrences=943, conflicts=0"
50,ら,"restored manual atlas mapping; repaired source occurrences=926, conflicts=0"
51,ン,"restored manual atlas mapping; repaired source occurrences=971, conflicts=0"
52,だ,"restored manual atlas mapping; repaired source occurrences=634, conflicts=0"
53,と,"restored manual atlas mapping; repaired source occurrences=801, conflicts=0"
54,。,"restored manual atlas mapping; repaired source occurrences=2274, conflicts=0"
55,も,"restored manual atlas mapping; repaired source occurrences=746, conflicts=0"
56,り,"restored manual atlas mapping; repaired source occurrences=778, conflicts=0"
57,さ,"restored manual atlas mapping; repaired source occurrences=575, conflicts=0"
58,お,"restored manual atlas mapping; repaired source occurrences=566, conflicts=0"
59,？,"restored manual atlas mapping; repaired source occurrences=576, conflicts=0"
60,よ,"restored manual atlas mapping; repaired source occurrences=996, conflicts=0"
61,く,"restored manual atlas mapping; repaired source occurrences=536, conflicts=0"
62,あ,"restored manual atlas mapping; repaired source occurrences=521, conflicts=0"
63,や,"restored manual atlas mapping; repaired source occurrences=549, conflicts=0"
64,そ,"restored manual atlas mapping; repaired source occurrences=417, conflicts=0"
65,ア,"restored manual atlas mapping; repaired source occurrences=450, conflicts=0"
66,わ,"restored manual atlas mapping; repaired source occurrences=423, conflicts=0"
67,き,"restored manual atlas mapping; repaired source occurrences=411, conflicts=0"
68,つ,"restored manual atlas mapping; repaired source occurrences=332, conflicts=0"
69,え,"restored manual atlas mapping; repaired source occurrences=353, conflicts=0"
70,ス,"restored manual atlas mapping; repaired source occurrences=353, conflicts=0"
71,ゃ,"restored manual atlas mapping; repaired source occurrences=403, conflicts=0"
72,け,"restored manual atlas mapping; repaired source occurrences=333, conflicts=0"
73,じ,"restored manual atlas mapping; repaired source occurrences=359, conflicts=0"
74,ち,"restored manual atlas mapping; repaired source occurrences=333, conflicts=0"
75,ね,"restored manual atlas mapping; repaired source occurrences=373, conflicts=0"
76,精,"restored exact atlas mapping; repaired source occurrences=287, conflicts=0"
77,ク,"restored manual atlas mapping; repaired source occurrences=296, conflicts=0"
78,霊,"restored exact atlas mapping; repaired source occurrences=321, conflicts=0"
79,大,"restored exact atlas mapping; repaired source occurrences=290, conflicts=0"
80,め,"restored manual atlas mapping; repaired source occurrences=290, conflicts=0"
81,人,"restored exact atlas mapping; repaired source occurrences=220, conflicts=0"
