source file,byte offset,length,raw bytes as hex,decoded Japanese
1/S1011.DAT,0x478AA,35,38 26 14 11 11 11 DA 38 DE C1 46 DD 9B 49 21 1B 22 4D 4F 09 59 1B 32 1B 0A 1C 9B E6 01 60 8F 34 1C BF 37,"もう3000年も燃え続けている精霊(せいれい)の山
シオンの炎。"
1/S1011.DAT,0x47902,23,1B 29 1F 1B E6 01 2E 1C BF 23 54 2D 1D DD E2 DD 94 2A DF 61 DF 61 3C,"いつたい
この炎にどんな意味が・・？"
1/S1011.DAT,0x47954,21,41 2D 1D 2E 36 E6 01 A9 23 1E 21 1B 22 89 DD AC 4A 48 1D 1B 02,"そんなこと
気にしている場合じゃない!"
1/S1011.DAT,0x4799E,42,DA 2A DD 92 49 32 58 E6 01 A3 6F 34 60 42 DD 17 20 33 01 B5 20 46 2A 9A 22 41 32 2A 43 2A 8E DD 9C 1C 3B 44 21 DF 61 DF 61 37,"年が明ければ
パレンシア城から むかえが来るそれがわが一族のおきて・・。"
1/S1011.DAT,0x479FC,36,41 1E 21 E6 01 DD 2F 1C DE 76 2F 7D 3E DD 70 1C DE 01 36 1E 21 E6 01 5D 96 36 DE 77 DF 40 3A 59 33 32 22 37,"そして
神の血をひく民の娘として
王子と結婚させられる。"
1/S1011.DAT,0x47A54,12,41 2D 1D 1C 28 24 79 51 2D 35 43 37,そんなのは、ごめんだわ。
1/S1011.DAT,0x47AD2,26,DF 61 DF 61 97 DD 57 E4 3D E6 01 6E 38 DD C4 2E 33 1D 20 29 1F 4A 48 1D 1B 37,"・・ふう<CTRL:E4:3D>
何も起こらなかつたじゃない。"
1/S1011.DAT,0x47B3E,49,3D 3E 6A 01 60 8F 34 1C BF 2F DD 28 1E 1F 02 E6 01 14 11 11 11 DA 38 1C D4 44 23 43 1F 39 E6 01 43 32 2F DD 0F 4A DD 5D 51 1E BF 2F DF 61 DF 61 37,"よくぞ シオンの炎を消した!
3000年もの長きにわたり
われを封じ込めし炎を・・。"
1/S1011.DAT,0x47BB2,5,DF 61 DF 61 3C,・・？
1/S1013.DAT,0x478EA,36,DF 61 DF 61 2B DD 35 21 28 E6 01 2E 1C 60 8F 34 1C BF 2F DD 28 1E 1F E6 01 3F 1C CF 20 33 DD 5B 27 29 1F 37,"・・すベては
このシオンの炎を消した
あの時から始まつた。"
1/S1013.DAT,0x47948,34,35 20 33 01 2E 1C BF 2F E6 01 38 26 8E DD 20 DD 28 2B 36 E6 01 DD 79 43 29 21 1E 27 26 A9 2A 2B 22 37,"だから この炎を
もう一度消すと
終わつてしまう気がする。"
1/S1013.DAT,0x479AC,10,E4 3D 4E 4E 53 DF 61 DF 61 37,<CTRL:E4:3D>ククル・・。
