id,status,severity,finding,evidence,next_action
card_label:1,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=카드 1; source glyph=original_ui_01.png ID card_label:1; original bytes=BC 31 95 12; V375 pointer=0x80192878,실제 화면/동작 검증은 별도
card_label:2,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=카드 2; source glyph=original_ui_01.png ID card_label:2; original bytes=BC 31 95 13; V375 pointer=0x80192880,실제 화면/동작 검증은 별도
ui_pointer:780E8,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=처음부터; source glyph=original_ui_01.png ID ui_pointer:780E8; original bytes=28 4A 51 20 33; V375 pointer=0x8019AF3E,실제 화면/동작 검증은 별도
ui_pointer:780EC,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=저장 데이터가 없습니다; source glyph=original_ui_01.png ID ui_pointer:780EC; original bytes=DD 60 31 C9 3A 32 21 1B 27 59 2D; V375 pointer=0x8019C712,실제 화면/동작 검증은 별도
ui_pointer:780F0,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드에 남은 공간이 없습니다; source glyph=original_ui_01.png ID ui_pointer:780F0; original bytes=BC 31 95 23 3F 44 2A 3F 39 27 59 2D; V375 pointer=0x8019B472,실제 화면/동작 검증은 별도
ui_pointer:780F4,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=그대로 계속하기; source glyph=original_ui_01.png ID ui_pointer:780F4; original bytes=2E 1C 27 27 45 DD F9 49 22; V375 pointer=0x8019AB9D,실제 화면/동작 검증은 별도
ui_pointer:780F8,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=데이터가 손상되었습니다; source glyph=original_ui_01.png ID ui_pointer:780F8; original bytes=81 31 62 2A 2E 43 32 21 1B 27 2B; V375 pointer=0x8019C7DE,실제 화면/동작 검증은 별도
ui_pointer:781B8,NEEDS_SOURCE_CONFIRMATION,MEDIUM,원문 데이터 선택에 없는 불러올 추가. 로드 전용 호출인지 확인 필요.,current=불러올 데이터를 선택하세요; source glyph=original_ui_01.png ID ui_pointer:781B8; original bytes=81 31 62 2F 46 33 2D 30 3E 35 3A 1B; V375 pointer=0x8019B60E,호출자/옵션 상태를 원본과 비교하여 문맥 확정
ui_pointer:781BC,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드 없이 계속하시겠습니까?; source glyph=original_ui_01.png ID ui_pointer:781BC; original bytes=78 5F 6B 31 BC 31 95 2F 45 20 43 8C 23 DD 4D 31 D8 2F 45 DD F9 49 27 2B 20 3C; V375 pointer=0x8019C514,실제 화면/동작 검증은 별도
ui_pointer:781C0,ACCEPTABLE_ABBREVIATION,LOW,확인 버튼 E702 아이콘을 일반어 확인 버튼으로 의역; 동작 의미 유지.,current=메모리 카드를 넣고 확인 버튼을 누르세요; source glyph=original_ui_01.png ID ui_pointer:781C0; original bytes=78 5F 6B 31 BC 31 95 2F DD 60 82 5C 1E 21 E7 02 DD A1 62 34 2F 3B 1E 21 3E 35 3A 1B; V375 pointer=0x8019B3D2,실제 화면/동작 검증은 별도
ui_pointer:781C4,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=어느 카드를 사용하시겠습니까?; source glyph=original_ui_01.png ID ui_pointer:781C4; original bytes=54 4B 33 1C BC 31 95 2F 45 20 1B 27 2B 20 3C; V375 pointer=0x8019B51C,실제 화면/동작 검증은 별도
ui_pointer:781C8,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드를 초기화하시겠습니까?; source glyph=original_ui_01.png ID ui_pointer:781C8; original bytes=78 5F 6B 31 BC 31 95 2F A6 DE B4 31 64 82 5C 1E 27 2B 20 3C; V375 pointer=0x8019C5B2,실제 화면/동작 검증은 별도
ui_pointer:781CC,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드가 가득합니다. 계속하시겠습니까?; source glyph=original_ui_01.png ID ui_pointer:781CC; original bytes=78 5F 6B 31 BC 31 95 2A 1B 29 75 1B 30 2B 2A DD 4D 31 D8 2F 45 DD F9 49 27 2B 20 3C; V375 pointer=0x8019B394,실제 화면/동작 검증은 별도
ui_pointer:781D0,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=쓰지 않는 데이터를 지우거나 다른 카드를 넣으세요; source glyph=original_ui_01.png ID ui_pointer:781D0; original bytes=1B 33 1D 1B A6 DE 4E 65 53 2F 49 2B 20 24 DD 35 45 1C BC 31 95 2F DD 60 82 5C 1E 21 3E 35 3A 1B; V375 pointer=0x8019B3B3,실제 화면/동작 검증은 별도
ui_pointer:78220,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드를 확인하고 있습니다; source glyph=original_ui_01.png ID ui_pointer:78220; original bytes=78 5F 6B 31 BC 31 95 2F 6C DF 5D 82 4E 1E 21 1B 27 2B; V375 pointer=0x8019C5DD,실제 화면/동작 검증은 별도
ui_pointer:78224,PASS_SEMANTIC,NONE,원문/현행을 직접 대조해 의미·대상·명령의 실질 변화 없음. 장음/일반 음역 차이는 오류로 세지 않음.,current=메모리 카드를 초기화하고 있습니다; source glyph=original_ui_01.png ID ui_pointer:78224; original bytes=78 5F 6B 31 BC 31 95 2F A6 DE B4 31 64 82 5C 1E 21 1B 27 2B; V375 pointer=0x8019C59C,실제 화면/동작 검증은 별도
