id,status,severity,finding,evidence,next_action,storage_class
extra_ui:780DC,HUD_BINARY,NONE,"1 → DFEA: native digit fragment, indexed 3-entry selector. Unknown prose decode is not glyph failure.",original COMM pixels independently rendered in-memory; bytes=12; current=<CODE:DFEA> bytes=df ea; candidate refs=0x8012d2ac; indexed bank load8012D2B4 -> draw8012D2C0,Validate current glyph pixels and actual reachability; approve corrections only after review,HUD_BINARY
extra_ui:780E0,HUD_BINARY,NONE,"2 → DFEB: native digit fragment, same selector bank.",original COMM pixels independently rendered in-memory; bytes=13; current=<CODE:DFEB> bytes=df eb; candidate refs=; indexed bank load8012D2B4 -> draw8012D2C0,Validate current glyph pixels and actual reachability; approve corrections only after review,HUD_BINARY
extra_ui:780E4,HUD_BINARY,NONE,"3 → DFEC: native digit fragment, same selector bank.",original COMM pixels independently rendered in-memory; bytes=14; current=<CODE:DFEC> bytes=df ec; candidate refs=; indexed bank load8012D2B4 -> draw8012D2C0,Validate current glyph pixels and actual reachability; approve corrections only after review,HUD_BINARY
extra_ui:780FC,HUD_BINARY,NONE,"Original pixels L → DFF4: native HUD letter, not Japanese word.",original COMM pixels independently rendered in-memory; bytes=df 60; current=<CODE:DFF4> bytes=df f4; candidate refs=0x8012d3f4,Validate current glyph pixels and actual reachability; approve corrections only after review,HUD_BINARY
extra_ui:78244,HUD_BINARY,NONE,Original pixel is colon : (raw25 is NOT ASCII % here). Current DFF7 native HUD punctuation.,original COMM pixels independently rendered in-memory; bytes=25; current=<CODE:DFF7> bytes=df f7; candidate refs=0x8012d4b4,Validate current glyph pixels and actual reachability; approve corrections only after review,HUD_BINARY
extra_ui:82470,PASS_SEMANTIC,NONE,Original opening corner quote 「 matches current 「; item acquisition message component.,original COMM pixels independently rendered in-memory; bytes=5b; current=「 bytes=df 2d; candidate refs=0x8015f668,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:82534,ACCEPTABLE_ABBREVIATION,LOW,"Japanese subject particle が becomes space in stat-number-increase message, e.g. 공격력 N 상승. Meaning preserved.",original COMM pixels independently rendered in-memory; bytes=2a; current=  bytes=a1; candidate refs=0x8016042c,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:82550,PASS_SEMANTIC,NONE,Original opening corner quote 「 matches current 「; learned-skill message component.,"original COMM pixels independently rendered in-memory; bytes=5b; current=「 bytes=df 2d; candidate refs=0x8016053c,0x801605cc",No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:82558,ACCEPTABLE_ABBREVIATION,LOW,"Original 」の becomes 」 plus space; possessive particle omitted in named-skill level-up component, meaning retained.",original COMM pixels independently rendered in-memory; bytes=5a 1c; current=」  bytes=df 09 a1; candidate refs=0x80160604,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:825F0,PASS_SEMANTIC,NONE,"する → 확인함 is the affirmative cancel-confirmation option, not a generic verb. Table consumer proves row pairing.",original COMM pixels independently rendered in-memory; bytes=2b 22; current=확인함 bytes=de 2b 35 dd cf; candidate refs=; configuration loop80160894..801608CC: base825C8+(row*8)+0x14 and +0x18; row2 cancel confirm / row3 help,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:825F4,PASS_SEMANTIC,NONE,あり → 보기 is help-window ON option; paired with なし.,original COMM pixels independently rendered in-memory; bytes=3f 39; current=보기 bytes=60 24; candidate refs=; configuration loop80160894..801608CC: base825C8+(row*8)+0x14 and +0x18; row2 cancel confirm / row3 help,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:825F8,PASS_SEMANTIC,NONE,なし → 안 보기 is help-window OFF option; paired with あり.,original COMM pixels independently rendered in-memory; bytes=1d 1e; current=안 보기 bytes=94 a1 60 24; candidate refs=; configuration loop80160894..801608CC: base825C8+(row*8)+0x14 and +0x18; row2 cancel confirm / row3 help,No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:82630,CONFIRMED_DEFECT,MEDIUM,Original 勝 (wins) becomes 위 (rank/up). Original win counter renderer loads at80156898 and draws at801568A0.,original COMM pixels independently rendered in-memory; bytes=d5; current=위 bytes=8e; candidate refs=0x80156898,Validate current glyph pixels and actual reachability; approve corrections only after review,TEXT_FRAGMENT
extra_ui:82634,CONFIRMED_DEFECT,HIGH,"Original pixel 負 (losses) becomes 로 분<CODE:E0ED>, corrupt text. Original loss-counter draw8015691C. Known-buried exception did not mean repaired.",original COMM pixels independently rendered in-memory; bytes=dd cb; current=로 분<CODE:E0ED> bytes=d5 dc 92 e0 ed; candidate refs=0x80156914,Validate current glyph pixels and actual reachability; approve corrections only after review,TEXT_FRAGMENT
extra_ui:8299C,NEEDS_SOURCE_CONFIRMATION,HIGH,Original pixel 炎 is proven. Current only E0AC has no known Korean mapping; exact current glyph/CPU render still required before deciding corruption versus intentionally preserved symbol. Pointer is skill-alias bank index25.,"original COMM pixels independently rendered in-memory; bytes=bf; current=<CODE:E0AC> bytes=e0 ac; candidate refs=; alias bank82938 +25*4, bank indexed native consumer80156F78..80156F90",Validate current glyph pixels and actual reachability; approve corrections only after review,TEXT_FRAGMENT
extra_ui:82A68,CONFIRMED_DEFECT,MEDIUM,Original ????? unknown-entry label becomes empty. Explicit unknown branches draw this pointer at8015652C and80156AE0; not an original empty placeholder.,"original COMM pixels independently rendered in-memory; bytes=3c 3c 3c 3c 3c; current= bytes=; candidate refs=0x80156524,0x80156abc",Validate current glyph pixels and actual reachability; approve corrections only after review,TEXT_FRAGMENT
extra_ui:82938,EMPTY_PLACEHOLDER,NONE,"Original/current empty bank index0; indexed aliases consumed at80156F90,801632E0,80171CA0.","original COMM pixels independently rendered in-memory; bytes=; current= bytes=; candidate refs=0x80156f78,0x801632cc,0x80171c8c",No semantic correction needed; runtime validation remains separate,TEXT_FRAGMENT
extra_ui:82AE8,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=dd bd; current=겨 bytes=dd bd; candidate refs=0x80157e78,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
extra_ui:82AEC,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=dd 99; current=느 bytes=dd 99; candidate refs=,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
extra_ui:82AF0,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=de 34; current=평 bytes=de 34; candidate refs=,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
extra_ui:82AF4,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=ce; current=  bytes=ce; candidate refs=,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
extra_ui:82AF8,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=90; current=조 bytes=90; candidate refs=,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
extra_ui:82AFC,CONFIRMED_DEFECT,LOW,Native CJK state-editor label is unchanged bytes but Korean glyph mapping changes its visible meaning. Six-entry bank drawn80157E8C. Ordinary-player reachability NOT proven; keep debug/state editor scope separate.,original COMM pixels independently rendered in-memory; bytes=dd d2; current=태 bytes=dd d2; candidate refs=,Validate current glyph pixels and actual reachability; approve corrections only after review,DEBUG_STATE_UI
ascii_format:8D6A8,PASS_SEMANTIC,NONE,ASCII numeric format '%2d' unchanged; not native game text.,Original/current bytes 253264; static ref 8012D418 calls sprintf801759B8; B2E4 at8012D43C,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8D6AC,PASS_SEMANTIC,NONE,ASCII numeric format '%4d' unchanged; not native game text.,Original/current bytes 253464; static ref 8012D480 calls sprintf801759B8; B2E4 at8012D4A4,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8D6B0,PASS_SEMANTIC,NONE,ASCII numeric format '%02d' unchanged; not native game text.,Original/current bytes 25303264; static ref 8012D508 calls sprintf801759B8; B2E4 at8012D528,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DA88,PASS_SEMANTIC,NONE,ASCII numeric format '%04d' unchanged; not native game text.,Original/current bytes 25303464; static ref 80157EBC calls sprintf801759B8; B2E4 at80157F2C,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DA90,PASS_SEMANTIC,NONE,ASCII numeric format '%05d' unchanged; not native game text.,Original/current bytes 25303564; static ref 80157EEC calls sprintf801759B8; B2E4 at80157F2C,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DA98,PASS_SEMANTIC,NONE,ASCII numeric format '%03d' unchanged; not native game text.,Original/current bytes 25303364; static ref 80157F10 calls sprintf801759B8; B2E4 at80157F2C,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DAB8,PASS_SEMANTIC,NONE,ASCII numeric format '%d' unchanged; not native game text.,Original/current bytes 2564; static ref 80160450 calls sprintf801759B8; stat message numeric component80160440 onward,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
ascii_format:8DAC0,PASS_SEMANTIC,NONE,ASCII numeric format '%d' unchanged; not native game text.,Original/current bytes 2564; static ref 80162150 calls sprintf801759B8; B324 at80162160,Formatting bytes preserved; no prose translation required,ASCII_FORMAT
