file,offset,capacity,slot,text,translation_note
1/S1072.DAT,0x478CC,51,0,"촌장: 신의 피를 이은 일족만 들어갈 수 있도록 결계가 지키던 시온산의 불꽃도...","원문의 일족·결계·시온산 정보를 보존"
1/S1072.DAT,0x47932,30,1,"촌장: 이 말괄량이 덕분에 마침내 꺼지는구나.","촌장의 낮춰 보는 말투와 기대를 보존"
1/S1072.DAT,0x47996,23,2,"촌장: 돌아왔구나...","귀환 확인"
1/S1072.DAT,0x479F4,18,3,"촌장: 오오, 기다리고 있었다.","기다리던 촌장의 반응"
1/S1072.DAT,0x47A30,5,4,"...","침묵 유지"
1/S1072.DAT,0x47A68,11,5,"촌장: 무슨 일이냐?","쿠쿠루의 이상을 묻는 장면"
1/S1072.DAT,0x47AA8,52,6,"목소리가... 아주 무서운 목소리가 들렸어요. 분명 좋지 않은 일이 생길 것 같아요...","쿠쿠루가 촌장에게 말하는 높임말과 불길함 보존"
1/S1072.DAT,0x47B0E,35,7,"촌장: 쿠쿠루도 의외로 겁이 많구나. 자, 돌아가자.","촌장의 대수롭지 않은 반응 보존"
1/S1072.DAT,0x47B94,54,8,"촌장: 후후후... 잘됐군. 안델 대신에게 상을 듬뿍 받아야겠어...","촌장의 배신과 보상 의도를 보존"
1/S1072.DAT,0x47C24,55,9,"그날 밤, 시온산에는 십 년 만의 눈보라가 몰아쳤다.","장면 전환 내레이션"
