category,id,status,severity,finding,evidence
EXE_UI,equipment_name:14,CONFIRMED_DEFECT,LOW,"Source Violet Racer (ree-saa) has unvoiced SA, but current Korean says Laser (reijeo).",Original COMM glyph sheet original_ui_03.png row33; pointer0x804DC; original raw=AF 65 8F 6F 82 5C 6F 31 77 31; actual current=바이올렛 레이저
EXE_UI,equipment_name:26,CONFIRMED_DEFECT,LOW,Source Diiru fang is transliterated as Deil; the source vowel sequence is different.,Original COMM glyph sheet original_ui_03.png row45; pointer0x8050C; original raw=81 DD 03 31 53 1C DE B0; actual current=데일의 이빨
EXE_UI,equipment_name:42,CONFIRMED_DEFECT,LOW,"Source jigoku no SCOPE is rendered as hell's SNOOP, a glyph misreading.",Original COMM glyph sheet original_ui_04.png row61; pointer0x8054C; original raw=4A 79 3E 1C 47 D1 31 DD 55; actual current=지옥의 스누프
EXE_UI,equipment_name:48,CONFIRMED_DEFECT,LOW,"Source Reira hair ornament is rendered as Rira, changing the proper name.",Original COMM glyph sheet original_ui_05.png row67; pointer0x80564; original raw=6F 65 57 1C 20 6D 20 DD 3D 39; actual current=리라의 머리장식
EXE_UI,equipment_name:55,CONFIRMED_DEFECT,MEDIUM,"Source Sun HAT (boushi) becomes Sun MIRROR, changing the object type.",Original COMM glyph sheet original_ui_05.png row74; pointer0x80580; original raw=DD A9 DF 07 1C D2 26 1E; actual current=태양의 거울
EXE_UI,equipment_name:57,CONFIRMED_DEFECT,LOW,"Source Kuravisu book becomes Klaus book, changing the proper name.",Original COMM glyph sheet original_ui_05.png row76; pointer0x80588; original raw=4E 57 DD 39 DD 03 47 1C 92; actual current=클라우스의 책
EXE_UI,equipment_name:61,CONFIRMED_DEFECT,LOW,"Source Furei crest becomes Pony crest, changing the proper name.",Original COMM glyph sheet original_ui_05.png row80; pointer0x80598; original raw=A6 6F 65 1C DE 56 DE 34; actual current=포니의 문장
EXE_UI,equipment_description:30,CONFIRMED_DEFECT,MEDIUM,"Source says enemies ALMOST ALWAYS drop an item when defeated; current says RARE ITEM acquisition, changing probability into rarity.",Original COMM glyph sheet original_ui_08.png row113; pointer0x80B0C; original raw=BD 2F DD 83 2B 36 DD 05 D2 42 65 DB D8 2A 56 27 2B; actual current=적 처치 시 희귀 아이템 획득
EXE_UI,equipment_description:48,CONFIRMED_DEFECT,HIGH,"Caster/recipient reversed: current says Kukuru RECEIVES resurrection with full HP; original code tests the CASTER'S equipment, giving her resurrected target full HP.","Original COMM glyph sheet original_ui_09.png row131; pointer0x80B54; original raw=DD 2C DE 49 DD 1B DD 51 30 DD FA DD 90 DD 2B 50 30 DD 2C DE 49 1E 27 2B 09 4E 4E 53 0A; actual current=부활 마법을 받으면|체력 전부 회복(쿠쿠루); equipment_mechanics_followup.json: 8012E394 s0=a0 actor; 8012E3B8 equipped(actor,0x31); 8012E438 target_id=actor+AA; 8012E43C call 80128D78 with a3=equipment result; 80128D8C saves equipment flag; 80128DA4 skips half-HP removal when flag nonzero; 80128DAC..28DC8 reads newly created recipient maximum HP at +14 and removes half only without equipment; 8012E474..2E484 subsequently charges MP to same actor, separating actor from new recipient"
EXE_UI,equipment_description:49,CONFIRMED_DEFECT,MEDIUM,"Damage variation is real but incomplete: equipment doubles variability also used in healing, including the recipient's contribution. Source general variation wording was narrowed to damage.","Original COMM glyph sheet original_ui_09.png row132; pointer0x80B58; original raw=DD 42 1F 39 28 8C 32 2A 50 44 3E 1D 39 27 2B; actual current=피해 편차 증가; equipment_mechanics_followup.json: equipment49 raw 00 01 1A 00 64 00: percentage increase 100 to stat 0x1A; 80174D50..74DF4 reads original stat and computes original + original*100/100; getter table 8011B844 -> 80175368 reads stat +30; 801744E0..74544 applies base + trunc(base*(rand(2*spread)-spread)/100); 80173038 physical, 801731D8 magic, 80173330 item use spread; 8017354C,80173554 sum caster/recipient spread; 80173580 applies same variation to healing"
EXE_UI,consumable_name:8,CONFIRMED_DEFECT,LOW,"Source is poisonous medicine (dokuyaku), current says poisonous HERB; source distinguishes it from medicinal herb.",Original COMM glyph sheet original_ui_10.png row155; pointer0x80CBC; original raw=DD CF DD 58; actual current=독초
EXE_UI,consumable_name:16,CONFIRMED_DEFECT,LOW,"Source attack BOTTLE (bin) becomes attack JAR, conflating the vessel with summoning tsubo.",Original COMM glyph sheet original_ui_11.png row163; pointer0x80CDC; original raw=D0 B1 DE C0; actual current=공격 항아리
EXE_UI,skill_name:43,CONFIRMED_DEFECT,LOW,Original Odon rendered Oton: voiced DO misread as TO; same discrepancy in character85/description43,original_ui_16.png inventory row 254; pointer 0x8126C; V375 decoded current='오톤'
EXE_UI,skill_name:47,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original floor creation translated bridge creation; narrower construction meaning needs original gameplay evidence,original_ui_17.png inventory row 258; pointer 0x8127C; V375 decoded current='다리 만들기'
EXE_UI,skill_name:56,CONFIRMED_DEFECT,LOW,Original Dust Ruin rendered Dust Rune; distinct ruin/rune name lost,original_ui_17.png inventory row 267; pointer 0x812A0; V375 decoded current='더스트 룬'
EXE_UI,skill_description:20,CONFIRMED_DEFECT,LOW,"Original fires many bombs AT ONCE; current says consecutive fire, changing simultaneous to sequential animation",original_ui_19.png inventory row 290; pointer 0x81758; V375 decoded current='폭탄을 연속 발사'
EXE_UI,skill_description:24,CONFIRMED_DEFECT,MEDIUM,"Original EVERYONE FACES SAME DIRECTION AS POCO; current invents Poni and says toward Poni direction, losing same-facing relation",original_ui_19.png inventory row 294; pointer 0x81768; V375 decoded current='전원이 포니 방향으로 전환'
EXE_UI,skill_description:29,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original creates a mass of flame; current says flame BARRIER. Shape/obstruction claim needs original effect evidence,original_ui_19.png inventory row 299; pointer 0x8177C; V375 decoded current='불꽃 장벽 생성'
