row_number,source file,offset,classification,target_korean,raw_length,raw_sha256,raw_hex,review_status
4,1/S1011.DAT,0x4799E,빌드대기,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.,42,09921D4C597FCA35AE544FC7B77E705D767428356FEB262ACF96DE3B11441A0B,DA 2A DD 92 49 32 58 E6 01 A3 6F 34 60 42 DD 17 20 33 01 B5 20 46 2A 9A 22 41 32 2A 43 2A 8E DD 9C 1C 3B 44 21 DF 61 DF 61 37,
9,1/S1011.DAT,0x47BB2,빌드대기,...?,5,54423ACE4C217A0074A2D0307B9E3E95037122A3F292EBBF3F97559BAF319895,DF 61 DF 61 3C,
23,1/S1021.DAT,0x479AA,빌드대기,이걸 던지면 보통 적은 쓰러뜨릴 수 있겠어.,37,AA3D087B5E50A07A32A0704C7DFE70854BEF360981741DCD7D4FC9A679F2AC1C,2E 32 2F CA 45 49 32 58 24 E6 01 DD D9 1E 3E 33 1B 1C BD 35 29 1F 33 E6 01 DD 83 59 22 20 38 1E 32 1D 1B 1D 37,
62,1/S1021.DAT,0x48A4E,빌드대기,아버지의 유품을 장비해야겠어.,21,A2C37C7A3C305F24BB3702A894ABF7268E7342923BED40F9B66BD28093EB74E0,B7 3A 2D 1C 20 1F 6D 2F E6 01 DD D7 23 DE 2A 49 1D 3E 4B 48 37,
63,1/S1021.DAT,0x48AC6,빌드대기,아버지의 유품은 안쪽 방 상자에 있을 거야.,26,A7DDA48F1774D58ED5B40F2A575E9550AE6E8674E49021B4B5AA3ED13DB4385D,B7 3A 2D 1C 20 1F 6D 28 24 3B 3E 1C E6 01 28 2E 1C DD 64 23 3F 22 28 8C 35 37,
83,1/S1023.DAT,0x47952,선택지,어머니: 아버지가 남긴 편지를 읽을래?|괜찮아|읽는다,47,7FF0C28AEF2FA441559CB6D88670D278219B0B67D9BC8BA56FF355D946CF20E4,42 31 4E 1C DD 0E 25 E6 01 B7 3A 2D 1C DE CA 44 87 DE 0F 2A 3F 22 49 54 3D B5 20 1B 3C E6 01 E5 03 DD 35 45 23 1B 1B 37 E6 01 E5 03 3D B5 37,
92,1/S1023.DAT,0x47D0E,빌드대기,"자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,",38,AABAA4F358B0EE7BB5468EFB782978218EDE14654FE959BED157AB44F4EBC065,A4 B2 1C 62 31 34 1C CF 23 24 DF 60 DF 03 DD A1 62 34 2F DD 82 CF 23 3B 1E 21 A6 6B 31 BC 31 DE 4D 53 23 1E 21 24,
116,1/S1041.DAT,0x47A56,빌드대기,아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 해제한 용사를 죽이고...,53,6E8E040D2706771F2A4C1E6F7CB4D0118F457CD2D2C9114321E561E62E056E86,42 31 4E 81 31 5F 34 25 E6 01 6E 1C 7A 35 20 43 20 33 2D 1D 37 E6 01 AD 28 DD 0F DD 44 09 97 26 1B 2D 0A 2F DD 34 1B 1F E6 01 DD 47 7E 2F DD 7A 1E DF 61 DF 61,
283,21/S2041.DAT,0x48160,선택지,물론이야!|조금 자신이 없어...|아직 싸우는 법을 몰라.,44,E8410F82A60C488A3D795CED50EDC3A830074BE12569E911E040DE377300CF41,E5 04 38 4B 55 2D 02 E6 01 E5 04 4B 73 29 36 A4 DD 27 2A 1D 1B 1D DF 61 DF 61 37 E6 01 E5 04 27 35 63 1B C4 2A 43 20 33 1D 1B 40 37,
288,21/S2041.DAT,0x483D4,빌드대기,승무원: 아니요,22,045AB48C9DA69BBB448043E7220B056123C2C5C4E17F1C9525A6E8CBFCC07B8A,DD 43 8D 25 E6 01 1B 46 E4 1F DF 61 E4 1F DF 61 E4 1F 1D 23 38 37,
295,21/S2041.DAT,0x48684,빌드대기,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,46,D98DE50D92E19D499E2FF61674F37515656E07BEBE5DD331DFA140D73312CA9E,DD 43 8D 25 E6 01 A4 B2 1C 62 31 34 1C CF 23 24 DF 60 DF 03 DD A1 62 34 2F DD 82 CF 23 3B 2B 36 A6 6B 31 BC 31 DE 4D 53 23 1D 39 27 2B 37,
308,21/S2042.DAT,0x47FF0,선택지,초핀: 더 도와드릴까요?|괜찮아|하나만 더,53,0E702236AACEADC8D13BC9370A85157620974DE03F4EEE1EB4F7A7142FC52E3F,6C 69 72 34 25 E6 01 6E 20 85 30 3B 61 23 1D 32 22 7A 28 3F 39 27 2B 20 3C E6 01 E5 03 DD 35 45 23 1D 1B 37 E6 01 E5 03 4B 73 29 36 DD 6A 46 21 DD 05 1E 1B 37,
334,21/S2044.DAT,0x4800A,빌드대기,초핀: 여러분의 여행을 도우라는 왕명을 받았습니다.,40,F66D99C230EAF11F37BE1620ED429383099AFD2B38DF7F527D5B16D8E2A8D3E1,6C 69 72 34 25 E6 01 6D 1D 3A 27 1C DD B8 1C 3B 87 DD 07 1B 2F 2B 22 3D 26 E6 01 5D 3D 39 CC 4A 33 32 21 3B 39 27 2B 37,
376,21/S2045.DAT,0x47F94,빌드대기,"초핀: 아이템, 장신구, 특수 능력은 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.",72,E01FEEAB02854B59D05DC4A94DDFE7EB436D17307E25234F245518B2DC01DF54,6C 69 72 34 25 E6 01 42 65 DB D8 2C 42 4E DD 60 77 6B 31 2C DE 96 1E DE 20 DD 80 61 28 24 BC 31 DE 4D 53 30 DE 0A 2D 30 1B 22 CF 23 DF 60 20 DF 03 DD A1 62 34 2F 3B 2B 2E 36 30 24 41 1C DD C1 DD 1F 2F A0 32 27 2B 37,
385,21/S2045.DAT,0x4834A,선택지,|전투 요령 2|유용한 정보|그만,37,B1EE50D8D071DB186CE4C84C7DE300AE1458D924E68436B871F9E93B51DC23B7,E5 03 AF 5C 53 1C DD 11 DD A7 01 41 1C 13 E6 01 E5 03 DE A6 3D 39 1D B0 E6 01 E5 03 40 29 75 39 24 1B 1B 40 37,
396,21/S2045.DAT,0x4876C,빌드대기,...,7,E0633B40BB528567099E0BC9F38BDC8F129001A062A9187C161EC014B545AD2C,DF 61 DF 61 DF 61 37,
401,21/S2045.DAT,0x48926,빌드대기,낙오자라니 누구를 말하는 게냐?,16,F855531016F6FD63C6B10BF0ABD6B3E174629CC1CB0E318E31B954F70B169C52,DD A4 4B 2E D2 32 36 28 DD D3 1C 2E 36 4A 48 3C,
402,21/S2045.DAT,0x48972,선택지,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,58,7F7B7AFB2167DEEE0053DA7F9D0099DCA7D9FAC14B548065A00E9DCFCD2D3AB5,E5 03 42 57 57 5C 47 1C DD 8F DD 9D 67 34 7F 69 34 E6 01 E5 03 DD 3A 53 64 31 7C 1C 41 1C C3 E6 01 E5 03 57 64 67 DD 9E 30 1C DD BF 74 E6 01 E5 03 40 29 75 39 24 1B 1B 40 37,
406,21/S2045.DAT,0x48B10,빌드대기,"그래, 너희 힘으로 보물을 척척 손에 넣는 거다!",30,72A0AD64E9C214700EEC457B62F4FEDBB622DF2ED8ADA4A838F7F7E255574F65,41 26 4A 48 24 3B 27 46 33 1C 61 30 DD C9 2F E6 01 54 2D 54 2D 87 23 86 32 22 2D 4A 48 02,
408,21/S2045.DAT,0x48BC0,빌드대기,맡길 리가 없잖아!,12,0C035B63CA10635CEF278130A8031E01AA4DC4344623CD7F060C4B5DF9932D4B,27 20 59 22 DE BA 1D 1B 30 1E 73 02,
413,21/S2045.DAT,0x48D6E,빌드대기,친절하기도 하군.,8,EF3208AE79755055282651C4ABA4D63F55FD2C5A8AAAEEC0CA69793B19D1D50C,40 3A 1E DE B6 1C 26 37,
417,21/S2045.DAT,0x48EC0,빌드대기,초핀: 어느 것에 관해 말씀드릴까요?,22,FD833A627226207FF9012FC65AA646AE25CFD3C3F7BD6F0E08F7B89F48872728,6C 69 72 34 25 E6 01 54 32 23 45 1B 21 3B B0 1E 1E 27 1E 73 26 3C,
418,21/S2045.DAT,0x48F18,선택지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,51,1F5BACB51D7DE242B4C95523B75D7147F57D01C7CE921209A945541C66CDE889,E5 03 47 5C 31 34 77 31 4E 53 E6 01 E5 03 6B 34 80 1C DE B1 DE CA DE D5 DD 97 E6 01 E5 03 DD 78 DD 7B DE 6E 23 45 1B 21 E6 01 E5 03 DD 2A 1C DD F7 31 7F,
419,21/S2045.DAT,0x48F94,선택지,|포코의 악기|투기장|키토우올|그만,42,35F26F64A7FD83289D466AF3C0539097937D217B100509F03230C18002316FF0,E5 03 D7 D1 1C DD DF DE 7A E6 01 E5 03 93 DD 4C 89 E6 01 E5 03 DD B5 31 5C 71 DE B4 31 53 E6 01 E5 03 40 29 75 39 1B 1B 40 37,
420,21/S2045.DAT,0x49006,선택지,|스톤 서클|링 위치 설정|소환수|다음 페이지,47,ACA249B20629F394DAD814883CD5E1AE68ED6932BBF3FEB0B79C45F9D01D29C6,E5 03 47 5C 31 34 77 31 4E 53 E6 01 E5 03 6B 34 80 1C DE B1 DE CA DE D5 DD 97 E6 01 E5 03 DD 78 DD 7B DE 6E E6 01 E5 03 DD 2A 1C DD F7 31 7F,
421,21/S2045.DAT,0x4907E,선택지,|포코의 악기|투기장|키토우올|다음 페이지,41,C5A6454CB1226CA398B021539B18FDC7CCC0E3C16FAEEC90EED2BF257FB12D9E,E5 03 D7 D1 1C DD DF DE 7A E6 01 E5 03 93 DD 4C 89 E6 01 E5 03 DD B5 31 5C 71 DE B4 31 53 E6 01 E5 03 DD 2A 1C DD F7 31 7F,
422,21/S2045.DAT,0x490F0,선택지,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만,56,DB9FC7069B927DFED84DCD923A7D168FACF031D0EDB23DE8B62E332B35B527D2,E5 03 57 64 67 DD 9E 1C DD BF 74 E6 01 E5 03 A2 64 34 60 34 80 47 5C 31 34 E6 01 E5 03 42 4E DD 60 77 6B 31 5B 44 DD 4F 1C 3B 99 5A E6 01 E5 03 40 29 75 39 1B 1B 40 37,
423,21/S2045.DAT,0x4916A,빌드대기,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,50,E9DDC731776B5FA21E2B7C9F7B674D02404258BB9C07A3C492BDC1B82934D06E,6C 69 72 34 25 E6 01 DD 3C 31 DD 4D 34 3A 2D 2A DD 99 88 23 1D 29 1F C3 23 8F 53 DD 56 47 1C DE F2 1C 47 5C 31 34 77 31 4E 53 8A 74 44 27 1E 1F 20 3C,
