member,offset,before,after,reason
4/S4031.DAT,0x45916,DD,DE,존개 -> 존재
4/S4031.DAT,0x45917,B4,52,존개 -> 존재
5/S5041.DAT,0x45184,6C,3E,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518A,0D,DD,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518B,A1,09,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518C,28,0D,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518D,24,A1,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518E,A1,DE,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4518F,18,13,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45190,4E,DD,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45191,DD,A4,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45192,04,0D,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45194,38,50,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45195,0A,A1,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45196,A1,1F,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45197,50,06,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x45199,1F,6A,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519A,01,0F,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519B,06,A1,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519C,A1,8B,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519D,6A,A1,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519E,0F,09,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x4519F,A1,DD,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
5/S5041.DAT,0x451A0,8B,DF,approved E2 slot wording: 그건 신하의 공적을 빼앗을 수 있는 왕의 상 아닌가!
