feature_id,workstream,feature,decision,last_proven_evidence,evidence_level,source_assets,dependencies,known_risk,next_gate
FNT-001,font,"Pilgi 16px source profile and official 8x4x4 beol rules",inherit_exact,"D941D1BE PoC; HASH-90FD70... states 1-3",runtime,"02_scripts/build_arc1_johab_font_16px_poc.py; 01_work/analysis/johab_font_16px_poc/build_manifest.json",font ZIP SHA256 and renderer version guards,"Future font replacement changes pixels and may change required component shapes",rebuild must reproduce raster and component census
FNT-002,font,"29 component shapes plus custom blank and safe filler",inherit_exact,"D941D1BE PoC",runtime,"01_work/analysis/johab_font_16px_poc/physical_slots_16px.csv",FNT-001 and original COMM.IMG,"Only the current dialogue path is runtime proven",all production-required jamo must map to the frozen shape set
REN-001,renderer,"Dialogue-only 16px post-packet wrapper",reconstruct_from_evidence,"D941D1BE PoC; custom packets 57/57",runtime,"02_scripts/build_arc1_johab_font_16px_poc.py",MEM-001 and MEM-002,"Current wrapper occupies the same cave required by E2 handlers",relocate byte-identical logic and repeat RAM/packet audit
REN-002,renderer,"Logical code to physical U/V table with stock CLUT plane",reconstruct_from_evidence,"D941D1BE PoC; code/plane/U/V 66/66",runtime,"01_work/analysis/johab_font_16px_poc/physical_slots_16px.csv",REN-001 and MEM-002,"Current table begins in the v0.41/v42 UI cave",relocate table without changing 31 entries
REN-003,renderer,"Stock 12px state for Japanese and noncustom glyphs",inherit_exact,"D941D1BE PoC; D/E 12/12 in all three states",runtime,"02_scripts/build_arc1_johab_font_16px_poc.py",REN-001,"No capture contains ordinary Japanese after the final Korean glyph",capture Korean followed by Japanese in one live scene
REN-004,renderer,"14px horizontal advance for custom Hangul",provisional,"D941D1BE PoC",runtime,"02_scripts/build_arc1_johab_font_16px_poc.py",REN-001,"Usable dialogue width changes from 14 stock cells to about 12 custom glyphs",measure exact exclusive right boundary in a production-width probe
REN-005,renderer,"14px vertical pitch with 16px packets",provisional,"D941D1BE PoC; two colliding pixels in state 1",runtime,"01_work/analysis/johab_font_16px_poc/runtime_savestate_validation.txt",REN-001,"Adjacent lines geometrically overlap by 2px",choose accept overlap or implement a state-safe 16px line pitch before bulk insertion
REN-006,renderer,"64 packet limit per dialogue text object",inherit_guard,"D941D1BE PoC; object cap 64",runtime,"02_scripts/build_arc1_johab_font_16px_poc.py",TXT-003,"A Hangul syllable costs two or three packets",compiler must fail every span or object that can reach 64 packets
TXT-001,text,"Runtime token grammar 01..DC/DD..E0/E1..FF/00",inherit_exact,"CTRL00 parser correction",static_exhaustive,"05_docs/ctrl00_parser_audit.md; 05_docs/script_original_full.csv",fixed original revision,"Unknown control meanings remain but token widths are fixed",one shared machine-readable control specification for extractor and compiler
TXT-002,text,"Original and translated dialogue corpus keyed by member and offset",inherit_exact,"2878 source rows; 2679 translated rows",static_exhaustive,"05_docs/script_original_full.csv; 05_docs/script_translated_full.csv",TXT-001,"dialogue_sites_full.csv is a v104+ catalogue and cannot be treated as pristine-source truth",strict raw-byte join against 00_original/arc.zip
