id,status,severity,finding,evidence,next_action,scope,original_choice_count,current_choice_count,original_japanese,current_korean
1/S1023.DAT:47952,PASS_SEMANTIC,NONE,"Directly compared original/current meaning; no material choice direction, count, target or action change identified. Runtime branch/geometry approval is separate.","Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=0; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,2,2,"アークの母 
父さんの置き手紙があるけどよむかい？
<CTRL:E5:03>ベつにいい。
<CTRL:E5:03>よむ。",어머니: |아버지가 남긴 편지를 읽을래?|<CTRL:E503>괜찮아  |<CTRL:E503>읽는다
1/S1023.DAT:47AB0,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=1; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,4,4,"<CTRL:E5:03>強くなるためには
<CTRL:E5:03>作戦をたてるには
<CTRL:E5:03>敵からダメージを受けないためには1<CTRL:E5:03>次のページ",<CTRL:E503>강해지려면   |<CTRL:E503>작전을 세우려면|<CTRL:E503>피해 줄이기 1     |<CTRL:E503>다음
1/S1023.DAT:47B30,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=2; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>敵からダメージを受けないためには2<CTRL:E5:03>うまく戦うには
<CTRL:E5:03>よむのやめる。",<CTRL:E503>피해 줄이기 2     |<CTRL:E503>전투 요령 |<CTRL:E503>그만 읽기 
21/S2041.DAT:47D5A,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=3; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>値ひれ究投ミ恵<CTRL:E6:00><CTRL:E5:02>場ふ究投ミ恵<CTRL:E6:00><CTRL:E5:02>年 が精ん<CTRL:E6:00><CTRL:E5:02>もー出っん<CTRL:E6:00>,<CTRL:E502> 뒤    제<CTRL:E600><CTRL:E502>자십   제<CTRL:E600><CTRL:E502>운어러의 <CTRL:E600><CTRL:E502> 스은오 <CTRL:E600>
21/S2041.DAT:47DD4,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=4; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>じ者ひれ話空<CTRL:E6:00><CTRL:E5:02>運き臣まぼ話空<CTRL:E6:00><CTRL:E5:02>フダレねま負話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 면뒤 거 <CTRL:E600><CTRL:E502> 덕요드변거 <CTRL:E600><CTRL:E502>심여스도드 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2041.DAT:47E2C,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=5; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,4,4,<CTRL:E5:02>れどどめじ話空<CTRL:E6:00><CTRL:E5:02>れひヴまねコ話空<CTRL:E6:00><CTRL:E5:02>必ま直き話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느느고 거 <CTRL:E600><CTRL:E502> 뒤라드도토거 <CTRL:E600><CTRL:E502> 드 덕거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2041.DAT:47E86,NEEDS_SOURCE_CONFIRMATION,MEDIUM,Original E502 family is already nonsensical under original COMM glyphs; alternate consumer/codebook or obsolete data must be resolved before calling it valid prose or safe nontext. No inferred translation proposed.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=6; original catalog sources=['story_corpus', 'script_original_full']",Original glyph/caller/VM confirmation required,choice_or_quiz,2,2,<CTRL:E5:02>はどま受金話空<CTRL:E6:00><CTRL:E5:02>解い装ま火<CTRL:E6:00>,<CTRL:E502> 느드두 거 <CTRL:E600><CTRL:E502>대  드 <CTRL:E600>
21/S2041.DAT:47EFE,PASS_SEMANTIC,NONE,"Directly compared original/current meaning; no material choice direction, count, target or action change identified. Runtime branch/geometry approval is separate.","Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=7; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:03>エリアMAPをオープンしますか？
<CTRL:E5:03>オープンする
<CTRL:E5:03>オープンしない
",<CTRL:E503>에어리어 맵을 열까요?      |<CTRL:E503>연다    |<CTRL:E503>열지 않는다 |
21/S2041.DAT:48160,PASS_SEMANTIC,NONE,"Directly compared original/current meaning; no material choice direction, count, target or action change identified. Runtime branch/geometry approval is separate.","Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=8; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:04>もちろん!
<CTRL:E5:04>ちょつと自信がないな・・。
<CTRL:E5:04>まだ戦い方がわからないや。",<CTRL:E504>물론이야!|<CTRL:E504>조금 자신이 없어...   |<CTRL:E504>아직 싸우는 법을 몰라.
21/S2041.DAT:48488,ACCEPTABLE_ABBREVIATION,LOW,Menu/dialogue/option shortened or paraphrased but reviewed action or distinction remains. Dialogue-style restoration requested by user should remain on editorial follow-up; this is not approval to retain all phrasing.,"Actual V375 decoded via E2 BankA/BankB; original/current bytes in dat_ui_candidates.csv; index=9; original catalog sources=['story_corpus', 'script_original_full', 'story_all_choices_v21_translation.csv']",Runtime selection/effect/geometry validation separate,choice_or_quiz,3,3,"<CTRL:E5:04>どうすれば強くなれるの？
<CTRL:E5:04>何か戦いのコツはあるの？
<CTRL:E5:04>やつっり、いいや。",<CTRL:E504>강해지는 방법   |<CTRL:E504>전투 요령       |<CTRL:E504>그만       
