source file,offset,japanese,translation status,existing translations
1/S1011.DAT,0x478AA,"もう3000年も燃え続けている精霊（せいれい）の山
シオンの炎。",conflicting existing,"3천 년 동안 타오르고 있는 정령의 산, 시온의 불꽃... | 3천 년째 타는|시온의 불꽃..."
1/S1011.DAT,0x47902,"いつたい
この炎にどんな意味が・・？",conflicting existing,대체 이 불꽃에는 무슨 의미가 있는 걸까...? | 불꽃의 의미는...?
1/S1011.DAT,0x47954,"そんなこと
気にしている場合じゃない！",conflicting existing,"아니, 지금 그걸 생각하고 있을 때가 아니야! | 신경 쓸 때가 아냐!"
1/S1011.DAT,0x4799E,"年が明ければ
パレンシア城から むかえが来るそれがわが一族のおきて・・。",conflicting existing,해가 바뀌면 팔렌시아 성에서 나를 데리러 올 거야. 그게 우리 일족의 규율이니까... | 새해엔 팔렌시아 성에서|날 데리러 와...
1/S1011.DAT,0x479FC,"そして
神の血をひく民の娘として
王子と結婚させられる。",conflicting existing,그리고 신의 피를 잇는 일족의 딸로서 왕자와 결혼해야만 해. | 신의 피를 이어|왕자와 결혼해야 해.
1/S1011.DAT,0x47A54,そんなのは、ごめんだわ。,conflicting existing,그런 건 절대로 싫어. | 절대 싫어.
1/S1011.DAT,0x47AD2,"・・ふ<G:306><CTRL:E4>よ
何も起こらなかつたじゃない。",conflicting existing,후... 아무 일도 일어나지 않았잖아. | 아무 일도 없잖아.
1/S1011.DAT,0x47B3E,"よくぞ シオンの炎を消した！
3000年もの長きにわたり
われを封じ込めし炎を・・。",conflicting existing,잘도 시온의 불꽃을 껐구나! 3천 년 동안 나를 봉인해 온 불꽃을... | 시온의 불을 껐구나!|3천 년간 날 가둔 불...
1/S1011.DAT,0x47BB2,・・？,conflicting existing,뭐지...? | 뭐?
1/S1013.DAT,0x478EA,"・・すベては
このシオンの炎を消した
あの時から始まつた。",existing,모든 것은 시온산의 불꽃을 껐던 그날부터 시작됐어.
1/S1013.DAT,0x47948,"だから この炎を
もう一度消すと
終わつてしまう気がする。",existing,그래서 이 불꽃을 다시 끄면 모든 게 끝날 것만 같아.
1/S1013.DAT,0x479AC,<CTRL:E4>よククル・・。,existing,쿠쿠루...
1/S1013.DAT,0x47A1C,<CTRL:E4>よ連れたくない・・。,existing,너와 헤어지고 싶지 않아...
1/S1013.DAT,0x47A90,ククル、頼む。,existing,"쿠쿠루, 부탁해."
1/S1013.DAT,0x47B2E,"アークデーモン 
今度こそ、<G:90>聖柩<G:89>の封印を
解く気のようだな
勇者よ！",existing,"아크 데몬: 이번에야말로 성궤의 봉인을 풀 생각이구나, 용사여!"
1/S1013.DAT,0x47B8E,"アークデーモン 
貴様を俺の手で殺すこによつて
俺は初めて3000年の呪いから
解放される。",existing,아크 데몬: 네놈을 내 손으로 죽여야만 삼천 년의 저주에서 벗어날 수 있다.
1/S1013.DAT,0x47BF8,"アークデーモン 
<G:90>聖柩<G:89>はサルバシオの<G:523>に
<G:676>いてある。",existing,아크 데몬: 성궤는 사르바시오 폭포에 있다.
