id,status,severity,finding,evidence,next_action
equipment_name:0,PASS_SEMANTIC,none,Flame protection: meaning preserved.,Original COMM glyph sheet original_ui_02.png row19; pointer0x804A4; original raw=BF 1C DD 1E 39; actual current=불꽃의 수호,No semantic change indicated; runtime/display validation remains separate.
equipment_name:1,PASS_SEMANTIC,none,Ice protection: meaning preserved.,Original COMM glyph sheet original_ui_02.png row20; pointer0x804A8; original raw=DF 14 1C DD 1E 39; actual current=얼음의 수호,No semantic change indicated; runtime/display validation remains separate.
equipment_name:2,PASS_SEMANTIC,none,Anti-Hemoji: name and prevention concept preserved.,Original COMM glyph sheet original_ui_02.png row21; pointer0x804AC; original raw=42 34 6C DD 3B 5F 7F 31; actual current=안티 헤모지,No semantic change indicated; runtime/display validation remains separate.
equipment_name:3,PASS_SEMANTIC,none,Healing charm: meaning preserved.,Original COMM glyph sheet original_ui_02.png row22; pointer0x804B0; original raw=1B 40 1E 1C 3B DD 1E 39; actual current=치유의 부적,No semantic change indicated; runtime/display validation remains separate.
equipment_name:4,PASS_SEMANTIC,none,Silk belt: meaning preserved.,Original COMM glyph sheet original_ui_02.png row23; pointer0x804B4; original raw=44 DD 4F 1C 3B 99; actual current=비단 허리띠,No semantic change indicated; runtime/display validation remains separate.
equipment_name:5,PASS_SEMANTIC,none,"Magic card: meaning preserved. Final BC3195 matches native memory-card label exactly; source is CARD, not GUARD.",Original COMM glyph sheet original_ui_02.png row24; pointer0x804B8; original raw=DD 1B DD 51 1C BC 31 95; actual current=마법 카드,No semantic change indicated; runtime/display validation remains separate.
equipment_name:6,ACCEPTABLE_ABBREVIATION,none,"Sleepless card: functional translation as sleep-prevention card is acceptable. BC3195 is CARD, not GUARD.",Original COMM glyph sheet original_ui_02.png row25; pointer0x804BC; original raw=47 6B 31 DD 55 6F 47 BC 31 95; actual current=수면 방지 카드,No semantic change indicated; runtime/display validation remains separate.
equipment_name:7,PASS_SEMANTIC,none,Power arm: transliteration preserved.,Original COMM glyph sheet original_ui_02.png row26; pointer0x804C0; original raw=A3 DD A0 31 42 31 D8; actual current=파워 암,No semantic change indicated; runtime/display validation remains separate.
equipment_name:8,PASS_SEMANTIC,none,Kaiser glove: transliteration preserved.,Original COMM glyph sheet original_ui_02.png row27; pointer0x804C4; original raw=BC 65 DD C8 31 80 A2 31 C9; actual current=카이저 글러브,No semantic change indicated; runtime/display validation remains separate.
equipment_name:9,ACCEPTABLE_ABBREVIATION,none,Phantom gauntlet: glove is a close functional rendering of kote.,Original COMM glyph sheet original_ui_02.png row28; pointer0x804C8; original raw=DD F2 1C 2E 21; actual current=환상의 장갑,No semantic change indicated; runtime/display validation remains separate.
