id,status,severity,finding,evidence,next_action
skill_name:0,EMPTY_PLACEHOLDER,NONE,Empty skill ID0,original_ui_14.png inventory row 211; pointer 0x811C0; V375 decoded current='',Preserve original blank slot; do not count as untranslated
skill_name:1,PASS_SEMANTIC,NONE,Burn Ground name preserved,original_ui_14.png inventory row 212; pointer 0x811C4; V375 decoded current='번 그라운드',Semantic comparison only; separate CPU/render/game regression required
skill_name:2,PASS_SEMANTIC,NONE,Total Healing name preserved,original_ui_14.png inventory row 213; pointer 0x811C8; V375 decoded current='토탈 힐링',Semantic comparison only; separate CPU/render/game regression required
skill_name:3,PASS_SEMANTIC,NONE,Gale Flash name preserved,original_ui_14.png inventory row 214; pointer 0x811CC; V375 decoded current='게일 플래시',Semantic comparison only; separate CPU/render/game regression required
skill_name:4,PASS_SEMANTIC,NONE,Slow Enemy name preserved,original_ui_14.png inventory row 215; pointer 0x811D0; V375 decoded current='슬로우 에너미',Semantic comparison only; separate CPU/render/game regression required
skill_name:5,PASS_SEMANTIC,NONE,Meteor Fall name preserved,original_ui_14.png inventory row 216; pointer 0x811D4; V375 decoded current='메테오 폴',Semantic comparison only; separate CPU/render/game regression required
skill_name:6,PASS_SEMANTIC,NONE,Cure name preserved,original_ui_14.png inventory row 217; pointer 0x811D8; V375 decoded current='큐어',Semantic comparison only; separate CPU/render/game regression required
skill_name:7,PASS_SEMANTIC,NONE,Depoison name preserved,original_ui_14.png inventory row 218; pointer 0x811DC; V375 decoded current='디포이즌',Semantic comparison only; separate CPU/render/game regression required
skill_name:8,PASS_SEMANTIC,NONE,Silent name preserved,original_ui_14.png inventory row 219; pointer 0x811E0; V375 decoded current='사일런트',Semantic comparison only; separate CPU/render/game regression required
skill_name:9,PASS_SEMANTIC,NONE,Refresh name preserved,original_ui_14.png inventory row 220; pointer 0x811E4; V375 decoded current='리프레시',Semantic comparison only; separate CPU/render/game regression required
skill_name:10,PASS_SEMANTIC,NONE,Heaven judgement translated as heavenly punishment,original_ui_14.png inventory row 221; pointer 0x811E8; V375 decoded current='천벌',Semantic comparison only; separate CPU/render/game regression required
skill_name:11,PASS_SEMANTIC,NONE,Resurrection name preserved,original_ui_14.png inventory row 222; pointer 0x811EC; V375 decoded current='리저렉션',Semantic comparison only; separate CPU/render/game regression required
skill_name:12,PASS_SEMANTIC,NONE,Divide name preserved,original_ui_14.png inventory row 223; pointer 0x811F0; V375 decoded current='디바이드',Semantic comparison only; separate CPU/render/game regression required
skill_name:13,PASS_SEMANTIC,NONE,Cherry blossom thunder explosive slash: Sino-Korean reading preserved,original_ui_14.png inventory row 224; pointer 0x811F4; V375 decoded current='앵화뇌폭참',Semantic comparison only; separate CPU/render/game regression required
skill_name:14,PASS_SEMANTIC,NONE,Binding curse sword: Sino-Korean reading preserved,original_ui_15.png inventory row 225; pointer 0x811F8; V375 decoded current='주박검',Semantic comparison only; separate CPU/render/game regression required
skill_name:15,PASS_SEMANTIC,NONE,Vacuum slash: Sino-Korean reading preserved,original_ui_15.png inventory row 226; pointer 0x811FC; V375 decoded current='진공참',Semantic comparison only; separate CPU/render/game regression required
skill_name:16,PASS_SEMANTIC,NONE,Tiger shadow slash: Sino-Korean reading preserved,original_ui_15.png inventory row 227; pointer 0x81200; V375 decoded current='호영참',Semantic comparison only; separate CPU/render/game regression required
skill_name:17,ACCEPTABLE_ABBREVIATION,NONE,Battle small drum: small-size modifier omitted without changing effect,original_ui_15.png inventory row 228; pointer 0x81204; V375 decoded current='전투의 북',Meaning retained as noted; separate CPU/render/game regression required
skill_name:18,PASS_SEMANTIC,NONE,Wild lion drum: Sino-Korean reading and drum preserved,original_ui_15.png inventory row 229; pointer 0x81208; V375 decoded current='황사자 북',Semantic comparison only; separate CPU/render/game regression required
